b3437,GLUCONOKINII-MONOMER
b3779,PPPGPPHYDRO-MONOMER
b1637,TYRS-MONOMER
b3570,EG11360-MONOMER
b3798,leuT-tRNA
b4204,G7862-MONOMER
b1127,EG11549-MONOMER
b2137,EG12019-MONOMER
b2637,G7372-MONOMER
b3462,FTSX-MONOMER
b2322,B2322-MONOMER
b2770,G7436-MONOMER
b1764,EG10943-MONOMER
b4248,G7879-MONOMER
b1204,EG10785-MONOMER
b2545,YPHC-MONOMER
b2145,G7144-MONOMER
b2990,EG11805-MONOMER
b0632,EG10201-MONOMER
b2541,PHENPRODIOLDEHYDROG-MONOMER
b3628,EG11351-MONOMER
b4599,MONOMER0-766
b2297,PHOSACETYLTRANS-MONOMER
b3266,ACRF-MONOMER
b1544,G6818-MONOMER
b4465,G7520-MONOMER
b3786,UDPGLCNACEPIM-MONOMER
b1468,NARZ-MONOMER
b2397,alaW-tRNA
b0818,G6421-MONOMER
b4146,G7836-MONOMER
b3971,RRFB-RRNA
b2068,EG11222-MONOMER
b0780,G6402-MONOMER
b3639,EG10004-MONOMER
b4396,PD04418
b0717,G6386-MONOMER
b3986,EG10873-MONOMER
b4359,PGLYCEROLTRANSI-MONOMER
b0728,SUCCCOASYN-BETA
b0566,PD00969
b3094,PD03270
b0242,GLUTKIN-MONOMER
b2066,UDK-MONOMER
b2848,G7468-MONOMER
b2752,CYSD-MONOMER
b3849,TRKH-MONOMER
b3506,EG11890-MONOMER
b4113,BASR-MONOMER
b0757,GALACTOKIN-MONOMER
b4384,DEOD-MONOMER
b1820,G6998-MONOMER
b2466,G7295-MONOMER
b1422,G6737-MONOMER
b1288,ENOYL-ACP-REDUCT-NADH-MONOMER
b0333,G6198-MONOMER
b2013,EG11895-MONOMER
b4207,G7865-MONOMER
b3614,EG12298-MONOMER
b3350,KEFB-MONOMER
b2522,EG11601-MONOMER
b3297,EG10910-MONOMER
b1619,7-ALPHA-HYDROXYSTEROID-DEH-MONOMER
b2185,EG10885-MONOMER
b4360,EG11214-MONOMER
b2432,G7267-MONOMER
b1205,EG11533-MONOMER
b4366,G7948-MONOMER
b1565,G6832-MONOMER
b4292,EG10292-MONOMER
b1189,DALADEHYDROGA-MONOMER
b3367,NIRC-MONOMER
b2526,EG12130-MONOMER
b3964,EG11395-MONOMER
b4306,G7916-MONOMER
b2051,GDPMANMANHYDRO-MONOMER
b0031,DIHYDROPICRED-MONOMER
b0313,PD00251
b0698,EG10513-MONOMER
b3523,YHJE-MONOMER
b2533,EG10983-MONOMER
b1634,B1634-MONOMER
b0722,SDH-MEMB2
b2160,EG12028-MONOMER
b4012,EG11207-MONOMER
b4685,MONOMER0-2878
b3865,EG11203-MONOMER
b2253,G7166-MONOMER
b0981,EG11826-MONOMER
b4115,YJDE-MONOMER
b3588,ALDDEHYDROGB-MONOMER
b0882,EG10156-MONOMER
b3858,EG11830-MONOMER
b1284,G6638-MONOMER
b4267,IDONDEHYD-MONOMER
b0004,THRESYN-MONOMER
b1460,EG11526-MONOMER
b1025,G6532-MONOMER
b2496,G7313-MONOMER
b0915,TETRAACYLDISACC4KIN-MONOMER
b1776,G6963-MONOMER
b0364,G6216-MONOMER
b3381,G7733-MONOMER
b1014,PUTA-MONOMER
b1707,G6925-MONOMER
b3608,GLYC3PDEHYDROGBIOSYN-MONOMER
b3033,G7580-MONOMER
b0612,B0612-MONOMER
b2591,RRSG-RRNA
b3315,EG10882-MONOMER
b2555,EG12139-MONOMER
b1767,ANSA-MONOMER
b1663,YDHE-MONOMER
b3731,ATPC-MONOMER
b4128,G7830-MONOMER
b2813,G7457-MONOMER
b3131,G7630-MONOMER
b3456,LIVM-MONOMER
b0542,G6298-MONOMER
b2718,EG10481-MONOMER
b0015,EG10240-MONOMER
b2395,EG11145-MONOMER
b1303,EG12344-MONOMER
b4690,RNA0-358
b3880,EG11845-MONOMER
b4415,MONOMER0-1581
b0795,G6412-MONOMER
b4595,MONOMER0-765
b0301,G6171-MONOMER
b1203,EG11404-MONOMER
b2635,G7370-MONOMER
b2662,GABATRANSAM-MONOMER
b2502,PPX-MONOMER
b1681,G6907-MONOMER
b3796,argX-tRNA
b2194,EG12052-MONOMER
b0688,PHOSPHOGLUCMUT-MONOMER
b3845,FADA-MONOMER
b3221,G7675-MONOMER
b0403,MALTODEXGLUCOSID-MONOMER
b0892,EG12690-MONOMER
b2300,G7192-MONOMER
b3012,MONOMER0-148
b3803,HEMX-MONOMER
b2332,G7203-MONOMER
b3078,YGJI-MONOMER
b2830,G7459-MONOMER
b1355,G6679-MONOMER
b4280,G7901-MONOMER
b1735,EG10143-MONOMER
b1009,G6520-MONOMER
b4126,G7828-MONOMER
b0926,G6474-MONOMER
b2556,G7345-MONOMER
b2866,G7485-MONOMER
b0422,EG11098-MONOMER
b1704,AROH-MONOMER
b3809,DIAMINOPIMEPIM-MONOMER
b1195,G6624-MONOMER
b3469,YHHO-MONOMER
b2659,G7394-MONOMER
b3830,G7804-MONOMER
b2469,NARQ-MONOMER
b0910,CMPKI-MONOMER
b2416,PTSI-MONOMER
b2299,G7191-MONOMER
b2199,CCMC-MONOMER
b0416,EG10666-MONOMER
b1507,EG10443-MONOMER
b1741,G6937-MONOMER
b4122,FUMB-MONOMER
b4416,RYBA-RNA
b4664,MONOMER0-2856
b2343,G7214-MONOMER
b2304,G7196-MONOMER
b1666,valW-tRNA
b1055,EG11116-MONOMER
b0223,G6107-MONOMER
b0844,G6442-MONOMER
b0111,EG10042-MONOMER
b3856,EG11828-MONOMER
b4230,YTFT-MONOMER
b2264,MEND-MONOMER
b1942,G378-MONOMER
b1317,G6655-MONOMER
b3175,SECG
b4510,MONOMER0-2658
b0357,G6209-MONOMER
b3481,EG11519-MONOMER
b2132,EG12013-MONOMER
